"","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"NIST610_1.xls Mean",0.356795317940618,1,26.3894451030399,2.22135835579097,0.264191769889331,3.516639396939,0.0872115266914063,2.45536285486135,0.585395188545625,0.0819132732407581,1.35874569269584,0.629205854821507,0.495890339794356,0.483343862436879,0.498376406345968,4.13628735156148,1.14741993737925,0.72333689339551,1.60818213383159,0.52032503527109,3.36561809544636,4.46871903542233,1.19657887835283,3.22350112535289
"NIST610_2.xls Mean",0.355020986358958,1,26.3089752430433,2.24688359146369,0.265206223922174,3.52272298873148,0.0864879567967431,2.47356074505375,0.58662764663047,0.0843336969720523,1.35658807171403,0.630019928737335,0.496991841410582,0.480435930341485,0.493974657904704,4.1005807660999,1.14529801942053,0.713969828151908,1.60118694978243,0.512568519812421,3.34868902575936,4.46859232965919,1.19590801520938,3.22435796690439
"NIST610_3.xls Mean",0.341957903316632,1,25.0481606445918,2.20367962965404,0.260584196365921,3.45180035090948,0.080958174405165,2.4320130603645,0.574476042833995,0.0819659093421529,1.32599220665893,0.62356070430249,0.504595174878883,0.472210310732115,0.497980027425424,4.20247057042568,1.17586277394394,0.714302314745659,1.64612654568455,0.53546620011413,3.50786667007121,4.71126229917666,1.26369072827142,3.40719216388241
"NIST610_4.xls Mean",0.33935417825337,1,25.2678946113709,2.2346681165184,0.263963440634413,3.47744393168234,0.0822230928536765,2.45154130489245,0.586106267066427,0.0835271945840572,1.3569110377107,0.637004592884825,0.51173808321,0.481122654584465,0.511146306541652,4.2087870793503,1.20347654004041,0.717013106109616,1.66832848167434,0.547205886687243,3.55241043358734,4.80359510845634,1.28459926269665,3.45228445996768
"NIST610_5.xls Mean",0.331328318835269,1,25.4661691391957,2.20106289608431,0.263992659901261,3.41310036102318,0.0800654910265402,2.42818332721149,0.573489700401706,0.0863922315924474,1.33805316781154,0.627889965068424,0.517817952173504,0.4728186737207,0.507391995253579,4.23113381872682,1.22201495798447,0.730525904655324,1.70620074627393,0.548902529624434,3.57974737144344,4.94962380339528,1.28778484102473,3.47405937244595
"NIST610_6.xls Mean",0.335740565547134,1,25.7951702051493,2.22664806578758,0.256966536771428,3.43461805562773,0.0802268521496237,2.42748815689849,0.573941716205972,0.0822696694099466,1.33964116248899,0.626252398616205,0.515087351463131,0.47229598309126,0.499770215380385,4.19598166284123,1.22855919078423,0.72503574196584,1.71353999773742,0.54612474758501,3.61463239085902,4.92878438579225,1.2958867954717,3.5188297206772
"NIST610_7.xls Mean",0.32959266005023,1,25.445917594918,2.20031205807775,0.25970133472861,3.43073534833968,0.078524185984752,2.43141316080794,0.568722142294156,0.0825386850865472,1.32446400675141,0.620428926557846,0.511767793289081,0.459970254218455,0.503438525254918,4.20422277422564,1.22680913018735,0.69844034219581,1.71325095430141,0.559078935637512,3.66361863088733,5.10277840440226,1.32615009483982,3.59495540762726
"NIST610_8.xls Mean",0.327196570053879,1,25.7074932351291,2.17490003670937,0.257306808187628,3.39478276598577,0.079558709081953,2.39531918909994,0.568968255441644,0.0824424167383385,1.31551257711678,0.61480735522908,0.516485722549866,0.461374102899748,0.504289405685303,4.24020595444696,1.21668196098908,0.697756354822595,1.69057844626864,0.559368345389558,3.59635884328859,5.052410278675,1.30496431968164,3.49148887441269
"NIST610_1.xls SD",0.0340916412420148,0,1.67650278365063,0.181738694709446,0.0294206786365308,0.280622369910933,0.0154608110181319,0.219072140703118,0.0575519720471674,0.0138768274624118,0.123340258069568,0.0668689791596609,0.0545480847280953,0.0522723745332271,0.0551361771401125,0.394435285470151,0.128038282785772,0.074668841074089,0.174173608218123,0.0635972687913514,0.377100571162716,0.525676522790702,0.14562878333272,0.384718847828467
"NIST610_2.xls SD",0.0340637516944707,0,2.07994608564895,0.193643460189995,0.0323644051262433,0.303555494722614,0.0135100811181659,0.251875520850444,0.0665970337080639,0.0152171893253029,0.167650429301527,0.0813865980905414,0.0671168450743688,0.065670413352132,0.071193474484468,0.550190528261583,0.162616437542413,0.106185864346502,0.214442342931938,0.0767412228101345,0.455874064795551,0.607879496890141,0.179223961453486,0.484912503977801
"NIST610_3.xls SD",0.0303291655368826,0,1.64347512269241,0.162304382926653,0.0271228968981414,0.243272033934742,0.0145518839639102,0.20524628643414,0.0560036175919193,0.0138436383135496,0.124136948340201,0.0635729049731605,0.0530199260867672,0.0500549135662864,0.0567959456920538,0.40531904387322,0.119713784653603,0.0759389772360589,0.165371982672376,0.0619632006127446,0.384601904147798,0.476977641378231,0.141764818420111,0.363243853988112
"NIST610_4.xls SD",0.0325884446752329,0,1.60905424234404,0.19591003807484,0.0290278297859772,0.281041426087073,0.0156715661473505,0.249234921099908,0.0749105179837395,0.0142299237538209,0.161684448757315,0.0835280961203065,0.068830719064529,0.0570467014986341,0.070121282382271,0.523893338047545,0.15710040043951,0.0981518756247841,0.219290576273508,0.0849834567976492,0.512950425697043,0.705684367112484,0.188994523096148,0.516429929183568
"NIST610_5.xls SD",0.0318997830986573,0,1.64668958274388,0.173492502797121,0.0298919701610731,0.282598836567934,0.0132018615835898,0.258845108677556,0.061346439598203,0.0156190954684535,0.152123245904144,0.0774980535405615,0.0661703048221261,0.0641411397953806,0.0659173523340632,0.523343074117805,0.158060694164856,0.104556188517542,0.220111615150065,0.0783403298531229,0.454168300909578,0.641083306079019,0.179151362048416,0.467031104012407
"NIST610_6.xls SD",0.0343106627725304,0,1.69777633169405,0.180944643603506,0.0303739739513792,0.293316042075679,0.0143421011272672,0.257525972651743,0.0718478778212325,0.0157084313198074,0.178395856404152,0.0865103811120691,0.0753999460901709,0.0633099422907322,0.0701999423753989,0.521163200153475,0.175752932168685,0.108292426042008,0.235024561745992,0.0772800583639498,0.523353217852324,0.729374393989269,0.204135948175383,0.543439223905159
"NIST610_7.xls SD",0.030895498512004,0,1.73885197284632,0.195624481423403,0.0329312624903433,0.322705571954593,0.0145805528446354,0.26387948766865,0.0682707063982686,0.0145037631708684,0.166059762894584,0.0845099269943368,0.0721199759681547,0.0654356112797077,0.0770403529833145,0.600609405594387,0.184512577903571,0.106136992465442,0.260298201529829,0.0936524531201167,0.560090555797872,0.775654283038548,0.218092279947008,0.565740579577064
"NIST610_8.xls SD",0.035014899084266,0,2.01550579899259,0.192633936562773,0.0286276999239519,0.326624812131875,0.0138630098383861,0.264428438108331,0.0772581150677262,0.0147234712862205,0.161362293102322,0.0822101737320633,0.0725331866895305,0.0670405506130897,0.0647106359801844,0.559123619344216,0.15939393657341,0.102882467132534,0.233249014539365,0.0860082532998491,0.549094278959758,0.754273985376148,0.197803278566033,0.511542568372132
"Total Mean",0.339623312544511,1,25.6786532220548,2.21368909376076,0.261489121300096,3.45523039990483,0.0819069986237325,2.43686022489874,0.577215869927499,0.0831728846207875,1.33948849036853,0.626146215777214,0.508796782346175,0.472946471503138,0.502045942473992,4.18995874720975,1.19576531384116,0.715047560755283,1.66842428194429,0.541130025015175,3.52861768266783,4.81072070562241,1.26944536694352,3.42333363640881
"Total SD",0.0111893408386956,0,0.475469359988521,0.0230276010777275,0.00328354570433036,0.046729087918348,0.00323585507116324,0.0234421993833699,0.00762326873364343,0.0015414379202738,0.016697276670002,0.00668970805587219,0.00862833470329407,0.00873687613296741,0.00558941665047653,0.0475694985686002,0.0348578832631104,0.0118828911105185,0.0456851024260866,0.0171454325001656,0.115119057931516,0.245212551849453,0.0485394262488046,0.134384745137838
